,nombre,direccion,ciudad,provincia,ci
78,IGLESIA EVANGELICA PENTECOSTAL ARGENTINA - FILIAL 186,AV. LAPRIDA ESQ. MARCELO T. DE ALVEAR,LA RIOJA,La Rioja,24.0
79,IGLESIA EVANGELICA PENTECOSTAL ARGENTINA - FILIAL 65,REPUBLICA DE SIRIA 40,LA RIOJA,La Rioja,24.0
80,IGLESIA PENTECOSTAL UNIDA DE LA ARGENTINA - FILIAL 37,MANZANA 412 LOTE 8 Bº MARIA AUGUSTA,LA RIOJA,La Rioja,401.0
81,MINISTERIO EVANGELÍSTICO JEHOVÁ SAMA,"PARCELA 57, LOTE 74, SECTOR V, CALLE PÚBLICA S/N BARRIO VIRGEN DE ANDACOLLO",LA RIOJA,La Rioja,4368.0
82,MINISTERIO EVANGELÍSTICO JESUCRISTO VIVE Y VIENE,AVENIDA PAMPLONA 1429,LA RIOJA,La Rioja,4284.0
83,MISION CRISTIANA ESPERANZA EN LA PROVINCIA DE BUENOS AIRES - FILIAL 19,AV. LUIS VERNET Y GANSO VERDE S. E M. 444 P. R,LA RIOJA,La Rioja,941.0
84,MISION EVANGELICA DE MAR DEL PLATA - FILIAL 9,GRANADEROS RIOJANOS 229,LA RIOJA,La Rioja,1466.0
85,MOVIMIENTO CRISTIANO Y MISIONERO - FILIAL 155,San Nicolás de Bari 352,LA RIOJA,La Rioja,557.0
86,TEMPLO DE UMBANDA SAN PEDRO - FILIAL 18,PTE PERON 1058,LA RIOJA,La Rioja,1489.0
87,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 689,PITUIL,LA RIOJA,La Rioja,14.0
88,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 754,8 DE DICIEMBRE 649 BARRIO CENTRO,LA RIOJA,La Rioja,14.0
89,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 867,LAPRIDA 370 BARRIO RANGO,LA RIOJA,La Rioja,14.0
90,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 906,SAN MARTIN 370,LA RIOJA,La Rioja,14.0
91,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 977,PAMPLONA 1433 BARRIO SAN VICENTE,LA RIOJA,La Rioja,14.0
92,CENTRO ISLAMICO DE LA RIOJA ,CALLE: BASE MARAMBIO Y ARTURO GRIMAUX N° 9006,LA RIOJA ,La Rioja,5136.0
93,CENTRO ISLAMICO DE LA RIOJA ,CALLE: BASE MARAMBIO Y ARTURO GRIMAUX N° 9006,LA RIOJA ,La Rioja,5136.0
94,IGLESIA BIBLICA DE FE PENTECOSTAL - FILIAL 1,QUITO 3420,LA RIOJA ,La Rioja,2132.0
